model,comparisons,mean,median,std,min,max
1_attention_layer,70800,0.05267074415795663,0.04652804136276245,0.024821851516959068,0.008636154234409332,0.27237075567245483
2_attention_layer,70800,0.054221169519104,0.048369111493229866,0.02521361865908286,0.008286913856863976,0.23259186744689941
